,plateifu,M*,sigma,min,mout,ext,hsig
326,8158-6103,11.360688714809552,2.3987005,11.098867399179662,10.685771006533672,0.0,-1.0
327,8239-12701,11.38515312546593,2.3403902,11.017185795251226,10.887833470456581,-1.0,1.0
328,8240-12703,11.850556612664487,2.411207,11.298662220227733,11.573630344129894,0.0,0.0
329,8241-6103,11.498337565819238,2.4033768,10.924684597713673,11.216502452246617,0.0,1.0
330,8241-6104,11.412498520648429,2.3925688,11.08400900196472,10.86458393842769,-1.0,0.0
331,8243-6101,11.368912317661847,2.35652,11.064366389145498,10.812274986574174,-1.0,1.0
332,8243-9102,11.533344101389787,2.2703712,11.269156620586855,10.916440166568758,1.0,0.0
333,8244-1901,11.38390247560511,2.417455,11.100304382313201,10.701680341265801,0.0,-1.0
334,8244-3704,11.680092763150471,2.4552414,11.296105874536842,11.232448336187858,0.0,-1.0
335,8244-6103,11.580522629515045,2.4327765,11.170532876609801,11.170833070606523,-1.0,0.0
336,8244-9102,11.551056419659643,2.3554919,11.07165513032591,11.194586975924326,-1.0,1.0
337,8245-3703,11.313938501554324,2.3936913,11.028680101376278,10.686818887469126,-1.0,-1.0
338,8247-9102,11.69112213912959,2.4864492,11.16812068523154,11.32903070087755,-1.0,-1.0
339,8248-6101,11.368094332048521,2.3621502,11.12008467718248,10.678176924990215,1.0,0.0
340,8248-9101,11.477178549327185,2.3777804,10.880957590586561,11.228987333896322,0.0,1.0
341,8249-6103,11.221688950180022,2.2660592,11.034616797588054,10.409517966515239,1.0,1.0
342,8253-6102,11.362468853930482,2.3658848,11.053322763447847,10.807680966747403,-1.0,0.0
343,8253-6103,11.713867344239615,2.4337225,11.324224310647361,11.286116723435331,0.0,0.0
344,8255-6104,11.50514134469143,2.4060779,11.246426690441726,10.800907981002588,1.0,-1.0
345,8256-6103,11.417580497067103,2.444177,11.117713518282793,10.884364772718103,0.0,-1.0
346,8256-6104,11.306688173145638,2.3247094,11.017422577583904,10.743211917489711,-1.0,1.0
347,8257-3702,11.446028157629469,2.405938,11.189628236930652,10.780431451848974,1.0,-1.0
348,8257-6104,11.637309107803604,2.4751904,11.137160173248276,11.273600934637942,-1.0,-1.0
349,8258-3703,11.34619913882262,2.3214378,11.172953578776008,10.380777242140608,0.0,0.0
350,8258-6102,11.222369103127456,2.3437598,10.979944853434116,10.586632064282528,-1.0,0.0
351,8259-12705,11.393207203134354,2.4389307,11.046452760997193,10.899745975018668,-1.0,-1.0
352,8259-3703,11.443179802558772,2.4494922,11.176854155968094,10.84512714138576,1.0,-1.0
353,8261-3702,11.492213145593414,2.3960116,11.189903385558244,10.930146146565084,0.0,0.0
354,8261-3703,11.567384266285854,2.470119,11.346315832733694,10.847217008581135,0.0,-1.0
355,8261-6101,11.41224261084862,2.4170465,11.111916873302748,10.829586861275523,0.0,-1.0
356,8262-6104,11.227478640804211,2.2905376,11.024049458053804,10.486407159632394,0.0,1.0
357,8262-9101,11.228825682753463,2.233048,11.064769923692959,10.325905268193944,1.0,0.0
358,8263-9102,11.29224972350706,2.340919,10.916680573625523,10.84059401027965,-1.0,1.0
359,8309-12702,11.681871578684635,2.476826,11.281994645035684,11.275286170814203,0.0,-1.0
360,8309-12704,11.526930370841084,2.5064619,11.225801829707938,10.95478794868918,1.0,-1.0
361,8309-9101,11.320754160312266,2.344098,11.024907706423937,10.71430399346043,-1.0,1.0
362,8310-6101,11.460792381744584,2.3806143,11.143896055980564,10.944321673016027,0.0,0.0
363,8311-9102,11.454603093213134,2.3268435,11.107931514011456,10.994805509362596,-1.0,1.0
364,8313-3702,11.393533255275777,2.360684,11.16215994987149,10.707560668080237,1.0,0.0
365,8314-9102,11.359071214530234,2.3665464,11.10228446103695,10.752878728199963,0.0,0.0
366,8315-12702,11.519974437981807,2.3930292,11.164011290071809,11.083544767444346,-1.0,1.0
367,8315-3703,11.338558188335902,2.296756,11.096656559483675,10.63405216281513,1.0,1.0
368,8315-6104,11.241400217973341,2.3374374,11.021037028697506,10.492815416978843,0.0,0.0
369,8317-12701,11.500822289993442,2.4277146,11.16529542541076,10.994020944338184,0.0,-1.0
370,8317-6103,11.444207465457092,2.3700173,10.986198578592454,11.102067840569694,0.0,1.0
371,8319-12701,11.328487869357547,2.3644433,11.014842680132727,10.781630432199536,-1.0,0.0
372,8319-9102,11.427729777096804,2.3858943,11.06296134844087,10.94144377375774,-1.0,0.0
373,8322-3702,11.24801283712951,2.3396637,11.084103721563313,10.323385197845253,1.0,0.0
374,8325-6104,11.3479091512188,2.3944824,11.155169376297454,10.48960161591775,1.0,-1.0
375,8326-3702,11.508675407739446,2.3748853,11.19986488428575,10.974523994335637,0.0,1.0
376,8327-9101,11.219579990189532,2.301946,10.907444247033053,10.687693763536199,-1.0,1.0
377,8328-3703,11.656986395706804,2.4332569,11.145502149455254,11.326444673443516,-1.0,0.0
378,8328-6102,11.435737121487378,2.3884776,11.159930184770674,10.84192522515342,0.0,0.0
379,8329-3703,11.592535563553895,2.3496227,11.157627434792783,11.184457406057884,-1.0,1.0
380,8330-12705,11.27677470943017,2.3492334,10.948679626002546,10.763369473261319,-1.0,1.0
381,8330-3702,11.243284142823804,2.2352662,11.083409728964666,10.28639664404367,1.0,0.0
382,8331-12701,11.335510207459928,2.3117874,10.963396155611113,10.906217828620289,-1.0,1.0
383,8331-3702,11.272255157151255,2.4139674,11.073650814087621,10.415415448042934,1.0,-1.0
384,8331-9101,11.469659808932311,2.4241276,11.161183751261696,10.927129308896522,0.0,-1.0
385,8331-9102,11.46093219977372,2.3838756,11.16102826322286,10.915286655485863,0.0,0.0
386,8333-3703,11.42293357773274,2.4758644,11.047324560521185,10.9292176003552,-1.0,-1.0
387,8333-6101,11.573576862471292,2.4379296,11.146154105632032,11.214940348442678,-1.0,0.0
388,8333-9101,11.377561287709913,2.3699296,11.080362007682025,10.827641879296927,-1.0,0.0
389,8335-6103,11.62309909868263,2.4843333,11.148383854901242,11.303213051935423,-1.0,-1.0
390,8335-9101,11.464166602618565,2.4397736,11.087043266466507,11.040516570339182,-1.0,-1.0
391,8336-6103,11.381425694756812,2.48474,11.145798044104133,10.67130939448488,1.0,0.0
392,8336-6104,11.566092676371747,2.4224398,11.264508595969074,10.993194135648524,1.0,-1.0
393,8338-1902,11.218966750237659,2.3003447,11.063224156584262,10.413579355374182,1.0,1.0
394,8341-12702,11.493708697170163,2.34654,11.176680761526207,10.943329718201298,0.0,1.0
395,8438-12703,11.216479415912637,2.3410046,10.910274839732192,10.657984785193072,-1.0,1.0
396,8440-12702,11.44650352871054,2.3776674,11.00863315734047,11.064000703477147,-1.0,1.0
397,8440-6103,11.47326388397499,2.4368827,11.132406778535671,10.923417536058896,0.0,-1.0
398,8440-9101,11.649759147571505,2.4213583,11.15153097300038,11.30906859898315,-1.0,0.0
399,8443-3703,11.468319059902532,2.3410063,11.182326840921501,10.89116595536875,0.0,1.0
400,8447-12704,11.410988976615526,2.3915734,11.037025307374662,10.97941502162682,-1.0,0.0
401,8447-3702,11.565365212898797,2.433927,11.217974694144118,11.070059671719136,0.0,-1.0
402,8447-6102,11.591477496252718,2.408358,11.2243352339438,11.115951222752019,0.0,0.0
403,8447-6103,11.569379196324578,2.4283617,11.30659921899154,10.890061331916494,1.0,-1.0
404,8448-12701,11.241693369167663,2.2685082,10.922579191637478,10.694575151446458,-1.0,1.0
405,8450-12704,11.479846260106426,2.336479,11.222575468673826,10.823256652999294,1.0,1.0
